id,predicted_price
-1703146986,424370.06
-615733772,784222.0
-888484482,1116834.9
932365418,1652684.5
920926548,602853.44
1761300310,354598.66
-857524472,667999.06
-1579233209,513896.6
291310170,410134.94
-62065306,546063.9
-1749233467,735666.44
-323266716,424175.06
-92567218,270135.7
1769832794,358724.5
-1668848268,273480.84
-990986636,1203223.9
862000020,386982.56
-1908967226,1010230.7
1138000450,309673.84
1775800420,474185.03
-2003565871,393724.6
2025770560,1680648.8
-769898259,621226.56
734865858,717195.2
-509534456,482573.78
61605448,514619.5
817067198,258689.22
1773101530,219062.56
842965658,466558.84
1794500695,522337.4
-2074898293,427707.84
923000120,471347.75
1433032764,584012.56
16000200,582716.25
1926059094,314901.7
-1917034372,716720.7
-665107236,861611.7
1822069109,551315.94
-1914434487,332471.53
249000180,1364148.1
226059065,443896.22
396100110,249422.27
674515868,469148.94
-736573382,312783.5
884765428,229979.73
421000455,250720.83
-539767076,330642.66
-629834517,369017.34
887165898,345227.12
548165758,927755.25
1624049275,352717.0
-1524360406,387557.62
1157200189,597866.0
-1524365496,482050.78
711366213,482681.47
-1969898264,1506459.1
1021079099,536561.25
-1374204552,695939.3
1853200080,403856.84
-1070366956,584166.8
-1072918176,375649.44
2113700025,324821.56
-696726667,229015.84
-708466211,473230.9
-565734582,396429.84
-1473433887,272768.44
1598600209,381115.22
-1385734567,1288237.9
-88065791,626560.06
-1357666856,764320.2
-1384934412,325378.7
128566073,319018.34
1023134469,890453.0
-172267276,617632.56
-511234572,460707.0
-990986616,1042967.06
334165780,939362.06
-1513697086,283903.62
519000043,487905.2
-1069897995,1796949.8
151000075,475616.66
-1997567276,399230.94
-1972434507,732038.44
104510180,309145.66
-766067236,871157.25
-949867010,575669.9
1226039130,480632.8
122166128,742667.75
-1257767286,376751.25
-668928028,431252.78
104510230,301411.12
817832764,388410.5
1777432984,588246.2
1022133274,1036470.44
938168401,463462.56
-1375766201,549246.7
1886433624,349653.2
185000161,383593.7
101465418,696241.3
-949267131,532209.0
1856833190,298665.06
45032784,953338.1
-158007286,954866.75
-660867266,484707.9
1624059224,1344656.0
-1506567206,382490.12
1238266170,639653.1
-1065534342,509085.5
-766967006,782154.56
1405036334,2557444.5
-1574898277,370850.47
-1362433422,263770.03
-1897866026,562024.56
-1797834502,664870.2
-1524365031,606724.2
-323266359,251234.0
422049203,304976.0
-1218466466,237806.81
1423400260,370954.8
571166203,399064.6
-1168918244,436335.44
805434172,372107.06
514500235,346233.1
1423200170,256077.78
1402100070,518382.28
624110020,943803.4
-1887967151,215644.3
1890000225,948297.4
1320069271,419837.4
1195732789,339996.78
263000155,530393.56
-568167095,552702.06
858233062,382564.53
-1569888278,836309.3
-1424234392,350189.12
839065578,455873.16
128565483,350691.12
1760650950,347915.56
1068000559,1227477.4
-181166796,566773.56
-217166789,538805.1
-1569898146,786023.5
-286567261,955778.7
-1573624322,451252.7
1432701230,269878.7
-1016361246,326665.6
-1821616586,484091.22
-2109966611,202580.17
-797934567,566347.25
-1721734563,458567.44
624069003,774660.6
-1158434312,832265.9
-998967256,631968.8
1118001215,1243065.1
-2136034552,726313.94
333100209,675568.44
34001765,493488.44
356765508,629554.25
1266433914,743783.4
-1918034497,410139.62
-1019117276,707764.9
-418666696,323859.88
1450900020,274703.9
-27154312,323696.25
-926233619,386259.9
2126049032,390377.2
1823059159,288351.66
-856463870,245892.06
707366903,479344.7
-1449233742,435731.66
-647332787,668385.25
-1739067266,359202.4
-1406997256,433687.8
-1170234582,698162.25
-2055967285,300982.28
693865458,483761.22
817066748,297926.56
217500140,533771.56
-1377274072,303580.8
-996766126,295119.34
-1237966896,322509.0
-1724734148,492859.16
1776633044,550950.6
-1768334587,762878.3
1235100371,594256.4
-793484252,452562.84
-691966886,220637.16
707365663,644331.94
536166258,408147.72
-1524365834,489604.2
-1695965796,345352.94
1102000095,685231.44
1853080640,1176663.4
961266993,1429133.8
-856466500,214600.66
-1071430301,594557.94
679265748,483783.38
715010130,1811226.5
1982201485,571867.44
936565488,360508.9
687265588,422278.44
-1920784312,397024.6
327165561,606996.75
-534466780,1023269.4
-1569898246,819371.4
-962967205,379688.78
-27164512,619459.44
-438333402,256033.58
-26894432,582625.7
240000269,1173437.1
12382904,337884.4
1311910300,368311.7
-720067266,453823.56
-736704022,385989.6
320069049,320599.44
1249366468,857122.2
-1578733259,667566.0
-1513647196,308144.88
-873898176,553790.5
-737904272,417265.6
1021133779,2496619.8
1014133454,533829.06
629000730,546791.4
511700170,408992.47
1562100030,468760.72
-1805767066,534688.6
524069116,391311.28
1020133441,696806.6
1868900675,1022433.44
1608000120,407116.75
705700240,407443.0
-1014333982,311855.1
1778500015,884432.25
1128532944,235864.38
-1876234567,313015.06
-1560866562,378752.1
301402280,285670.62
2113700205,301904.22
-180365726,2904981.8
-962966681,407795.6
-664917116,368318.38
-1737234072,467483.03
-1719624582,653278.3
1868933685,430100.28
393000142,371679.34
1771100130,312479.4
1442860160,487824.25
601265843,694670.1
-1801733792,946403.7
1115300070,819960.75
-1118367191,775890.2
-1524362631,533243.94
1174533284,594590.8
1385033249,432604.72
-870878177,392601.25
1328300180,471755.62
1773100922,386637.66
-171136816,463525.3
1218675598,847615.56
-44767156,324524.0
-77565181,3706305.8
-463716946,550124.25
-1897866241,926454.6
-1772084482,1099662.5
-1063134392,631289.94
-736564492,817265.0
-1771878271,1080351.0
886266088,368696.53
1419232844,574210.25
-719662401,519215.94
263000018,454540.4
-509534415,402367.16
-2139630462,264157.22
514500090,580353.1
887065708,407156.75
853600310,1526968.0
1951600240,233992.48
1099900120,381399.56
1028132824,540312.8
1223089016,500494.53
522059172,304621.97
1930300190,653538.75
952905818,318873.56
75115938,365912.1
1297932909,563454.25
1155332714,355477.62
-1835007266,327654.66
-963466841,530616.7
-862466591,359473.12
-592067131,263316.12
954836254,725504.6
626049058,477100.38
1788900380,228398.36
-514534232,303604.56
523265658,645037.1
-1556327256,801762.7
-768734285,547009.9
-764527156,309281.3
-712267166,378112.56
686265977,597684.75
-1392134572,423079.8
686200490,560949.9
-793367196,338762.0
2088033394,598878.4
-985534442,261796.23
954834115,1061740.0
-1687246876,445899.28
971165418,306259.3
1796370590,306952.0
-217166703,434772.78
854000165,278624.9
1241132714,289583.22
-106966626,846926.4
31000165,1496248.9
662350050,1016989.5
-157967016,349797.62
1874933834,890558.3
1953400510,339758.53
-1071427876,1101702.1
1552520010,308969.7
-634854322,392323.16
622965508,563738.06
-856466498,212165.22
-690133702,306533.97
24233309,361673.22
1329300480,428997.5
345165508,983429.6
721033964,291806.03
42632984,438648.94
1446401220,198056.92
-1454413062,584639.44
-1701034477,334120.6
-1881666226,446568.28
345700040,250651.25
1271132849,384797.66
-955134522,350446.72
756975908,560013.4
-765667236,394375.47
-461334532,1154375.8
-17034317,293575.16
-155546706,1886172.8
684265730,559538.25
1472700200,394087.5
230968788,583612.75
-26924462,644457.94
375515518,676824.0
684269638,384024.88
-424432892,316248.47
-2101627036,424845.88
